cities,areas,rooms
city-0,area-0,"{'name': 'hpoyupvtbyhm', 'phone': '3458597560', 'price': 2500}"
city-0,area-0,"{'name': 'abdifjjwyw', 'phone': '3153914202', 'price': 2500}"
city-0,area-1,"{'name': 'csercsl', 'phone': '5264094674', 'price': 1000}"
city-0,area-1,"{'name': 'bevgkhnvb', 'phone': '7718764640', 'price': 1500}"
city-0,area-1,"{'name': 'xgxtnzyh', 'phone': '1937266994', 'price': 1000}"
city-0,area-1,"{'name': 'lsvgxehhxqp', 'phone': '8915746719', 'price': 1500}"
city-0,area-1,"{'name': 'kdqykpnkhdltl', 'phone': '7566678522', 'price': 1500}"
city-0,area-1,"{'name': 'pewxoejwlwfpo', 'phone': '4830032066', 'price': 1000}"
city-0,area-1,"{'name': 'rgvsypvrukh', 'phone': '7327617444', 'price': 2500}"
city-0,area-1,"{'name': 'eyucuyuyvbt', 'phone': '2731030727', 'price': 1000}"
city-0,area-1,"{'name': 'funftpzw', 'phone': '5020890686', 'price': 2000}"
city-0,area-1,"{'name': 'scuyccsoyenr', 'phone': '4949696928', 'price': 1000}"
city-0,area-2,"{'name': 'vjtjhlzp', 'phone': '6547945724', 'price': 1000}"
city-0,area-2,"{'name': 'cjkeiqw', 'phone': '8261869865', 'price': 1500}"
city-0,area-2,"{'name': 'mciifykvt', 'phone': '6128052607', 'price': 1500}"
city-0,area-2,"{'name': 'nhctkfyctsp', 'phone': '3602399831', 'price': 1000}"
city-0,area-2,"{'name': 'aaehdqxdzm', 'phone': '6808014581', 'price': 1500}"
city-0,area-2,"{'name': 'naaxmfigs', 'phone': '2783736088', 'price': 1000}"
city-0,area-2,"{'name': 'sdswtyh', 'phone': '8208102955', 'price': 1000}"
city-0,area-3,"{'name': 'bokcwwo', 'phone': '5019315833', 'price': 1500}"
city-0,area-3,"{'name': 'dfuxajrrio', 'phone': '8097704450', 'price': 1500}"
city-0,area-3,"{'name': 'nyosaxmuptqpy', 'phone': '3517130954', 'price': 2500}"
city-0,area-4,"{'name': 'xyeygqazjesgs', 'phone': '2932154356', 'price': 2000}"
city-0,area-4,"{'name': 'eitqrkalu', 'phone': '8326795031', 'price': 1000}"
city-0,area-4,"{'name': 'eexfoqsum', 'phone': '3799628281', 'price': 1000}"
city-0,area-4,"{'name': 'ofjvchowbykbw', 'phone': '2939101046', 'price': 1500}"
city-0,area-5,"{'name': 'qufmosgnmlyzp', 'phone': '9017743159', 'price': 2000}"
city-0,area-5,"{'name': 'pfnkqxvqxw', 'phone': '9106521486', 'price': 1500}"
city-0,area-5,"{'name': 'akmuviublrzli', 'phone': '5384258259', 'price': 2000}"
city-0,area-5,"{'name': 'ieuojcxtksgzix', 'phone': '5929934434', 'price': 1500}"
city-0,area-5,"{'name': 'kimqowonmg', 'phone': '7815717125', 'price': 2000}"
